iter	Logloss
0	0.6275531163
1	0.577697661
2	0.5403481732
3	0.5126232421
4	0.4943651338
5	0.4755165294
6	0.4623987689
7	0.4513402898
8	0.4416159331
9	0.4351005304
10	0.4293504883
11	0.4249032292
12	0.4198110071
13	0.4155143795
14	0.412210045
15	0.4093159862
16	0.4069362053
17	0.4040727116
18	0.402276219
19	0.4000788019
20	0.398575054
21	0.3967539574
22	0.3950234082
23	0.3937959263
24	0.3918022267
25	0.3907393059
26	0.3900870712
27	0.3884072535
28	0.3866766054
29	0.3850438596
30	0.3838299009
31	0.3825720029
32	0.38203139
33	0.3813743983
34	0.3807124574
35	0.379754228
36	0.3790893905
37	0.3779788455
38	0.3765693365
39	0.3753385901
40	0.3745911669
41	0.3736982067
42	0.3724721412
43	0.3709895239
44	0.370163853
45	0.3689220266
46	0.3688427716
47	0.3674527587
48	0.3674521538
49	0.3665993781
50	0.3655310527
51	0.364372903
52	0.3630058463
53	0.3623691636
54	0.3618105301
55	0.361252975
56	0.3606819665
57	0.3600618761
58	0.359152492
59	0.3589597107
60	0.3584071024
61	0.3579803599
62	0.3570724544
63	0.3559846487
64	0.3555492774
65	0.3547160783
66	0.3539692605
67	0.3536092115
68	0.3527643903
69	0.3520072241
70	0.3514208478
71	0.3511829626
72	0.3507848858
73	0.3501466877
74	0.3491472666
75	0.3483627866
76	0.3476157516
77	0.3471811117
78	0.3465375743
79	0.345935023
80	0.3451700123
81	0.3444241481
82	0.3437685614
83	0.3429124673
84	0.3418255914
85	0.3408136148
86	0.3401740217
87	0.3394611364
88	0.3389224822
89	0.3382090834
90	0.3372214884
91	0.3365357158
92	0.3356612439
93	0.3349991557
94	0.3340818293
95	0.3331809154
96	0.3322882739
97	0.3318866393
98	0.3311777215
99	0.3306808946
100	0.3300008416
101	0.329280328
102	0.328527397
103	0.3280773748
104	0.3275504614
105	0.3266070929
106	0.3259461967
107	0.3253769468
108	0.3246314063
109	0.3241432412
110	0.323215384
111	0.3227209637
112	0.321783308
113	0.321208938
114	0.3205952788
115	0.3200944858
116	0.3194057974
117	0.3182920318
118	0.3176863724
119	0.3169281732
120	0.3160155695
121	0.3152168854
122	0.3146716843
123	0.3141203906
124	0.3131396525
125	0.3127288857
126	0.3120696004
127	0.3115753472
128	0.3113045242
129	0.3106584477
130	0.3099159268
131	0.3096023762
132	0.3087267743
133	0.3079264242
134	0.306976851
135	0.3061555623
136	0.30553781
137	0.3049703871
138	0.3042127658
139	0.3035360189
140	0.3032589879
141	0.3024604845
142	0.3023146788
143	0.3015051862
144	0.3007803711
145	0.3004083568
146	0.2998757855
147	0.2992063741
148	0.2989257969
149	0.298215292
150	0.2975424403
151	0.2969768375
152	0.2965119358
153	0.2960936425
154	0.2956828788
155	0.2951516067
156	0.2947332182
157	0.2938113865
158	0.293559218
159	0.2928525514
160	0.2926454903
161	0.2919721091
162	0.2912905954
163	0.2907481653
164	0.2900004528
165	0.2894495878
166	0.2887646036
167	0.2880494805
168	0.2873852958
169	0.2867316439
170	0.2862667637
171	0.2857437638
172	0.2849969752
173	0.284711945
174	0.284559626
175	0.2841676026
176	0.283756418
177	0.2833234777
178	0.2828234528
179	0.28244836
180	0.2820184293
181	0.2815219827
182	0.2808437417
183	0.280640111
184	0.2800015174
185	0.279347878
186	0.2789201592
187	0.2785032567
188	0.2780435422
189	0.2773697568
190	0.2766708041
191	0.2763571553
192	0.2755021041
193	0.2750290889
194	0.2748085436
195	0.2742021208
196	0.273811132
197	0.2730598664
198	0.2724810821
199	0.2721949338
200	0.2718465842
201	0.2716059656
202	0.2712274718
203	0.2706827393
204	0.2698940284
205	0.2696457385
206	0.2693780682
207	0.2688732981
208	0.2687581938
209	0.2683334032
210	0.2681570261
211	0.2675208744
212	0.266806863
213	0.2663636269
214	0.265736202
215	0.2653909026
216	0.264650628
217	0.2640159899
218	0.2631705803
219	0.2625593748
220	0.2622813907
221	0.2617301685
222	0.2612012752
223	0.2608496153
224	0.2607784983
225	0.2600170766
226	0.2598043216
227	0.2593867199
228	0.2589029271
229	0.2581466031
230	0.257894297
231	0.2571780853
232	0.2565646707
233	0.2561547146
234	0.2558167868
235	0.2556327091
236	0.2548986338
237	0.2542562733
238	0.2539853479
239	0.253636296
240	0.2532533968
241	0.2528612835
242	0.2526274326
243	0.2520116058
244	0.2513072589
245	0.2510893285
246	0.2508820076
247	0.2506326807
248	0.2501471306
249	0.2496876645
250	0.2493548449
251	0.2488392824
252	0.2485961794
253	0.2482483661
254	0.247599966
255	0.2472091042
256	0.2467248958
257	0.2461596581
258	0.2458516415
259	0.2455553681
260	0.2451241999
261	0.2450467477
262	0.2447070505
263	0.2443171436
264	0.2437407144
265	0.2431401768
266	0.2427403861
267	0.2421727166
268	0.2418045872
269	0.2415063091
270	0.2412339517
271	0.2408559006
272	0.2406688218
273	0.2401543533
274	0.2398658938
275	0.2393858793
276	0.2391065026
277	0.2388621175
278	0.2386009443
279	0.238304627
280	0.2378699987
281	0.2372870204
282	0.2367835755
283	0.2362730759
284	0.2357595966
285	0.2350969627
286	0.2347016993
287	0.234424763
288	0.2340838612
289	0.2336725998
290	0.2331385122
291	0.2328096685
292	0.2322157398
293	0.2318819704
294	0.2315524037
295	0.2310387818
296	0.2305464046
297	0.2302188711
298	0.2297556947
299	0.2293324715
